Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count,Index Field
Iran,B,10,FW,Karim Ansarifard,4/3/1990,28,63,16,Olympiacos,1,Iran10FW32966
Iran,B,11,MF,Vahid Amiri,4/2/1988,30,35,1,Persepolis,1,Iran11MF32235
Iran,B,12,GK,Mohammad Rashid Mazaheri,5/18/1989,29,3,0,Zob Ahan Esfahan,1,Iran12GK32646
Iran,B,13,DF,Mohammad Reza Khanzadeh,5/11/1991,27,11,1,Padideh,1,Iran13DF33369
Iran,B,14,FW,Saman Ghoddos,9/6/1993,24,7,1,Östersund,1,Iran14FW34218
Iran,B,15,DF,Pejman Montazeri,9/6/1983,34,46,1,Esteghlal,1,Iran15DF30565
Iran,B,16,FW,Reza Ghoochannejhad,9/20/1987,30,42,17,Heerenveen,1,Iran16FW32040
Iran,B,17,FW,Mehdi Taremi,7/18/1992,25,25,11,Al-Gharafa,1,Iran17FW33803
Iran,B,18,FW,Alireza Jahanbakhsh,8/11/1993,24,37,4,AZ,1,Iran18FW34192
Iran,B,19,DF,Majid Hosseini,6/20/1996,21,1,0,Esteghlal,1,Iran19DF35236
Iran,B,20,FW,Sardar Azmoun,1/1/1995,23,32,23,Rubin Kazan,1,Iran20FW34700
Iran,B,21,FW,Ashkan Dejagah,7/5/1986,31,45,9,Nottingham Forest,1,Iran21FW31598
Iran,B,22,GK,Amir Abedzadeh,4/26/1993,25,1,0,Marítimo,1,Iran22GK34085
Iran,B,23,DF,Ramin Rezaeian,3/21/1990,28,27,2,Oostende,1,Iran23DF32953
Morocco,B,1,GK,Yassine Bounou,4/5/1991,27,11,0,Girona,1,Morocco1GK33333
Morocco,B,2,DF,Achraf Hakimi,11/4/1998,19,9,1,Real Madrid,1,Morocco2DF36103
Morocco,B,3,DF,Hamza Mendyl,10/21/1997,20,13,0,Lille,1,Morocco3DF35724
Morocco,B,4,DF,Manuel da Costa,5/6/1986,32,27,1,?stanbul Ba?ak?ehir,1,Morocco4DF31538
Morocco,B,5,DF,Medhi Benatia (captain),4/17/1987,31,56,2,Juventus,1,Morocco5DF31884
Morocco,B,6,DF,Romain Saïss,3/26/1990,28,23,1,Wolverhampton Wanderers,1,Morocco6DF32958
Morocco,B,7,MF,Hakim Ziyech,3/19/1993,25,17,8,Ajax,1,Morocco7MF34047
Morocco,B,8,MF,Karim El Ahmadi,1/27/1985,33,50,1,Feyenoord,1,Morocco8MF31074
Morocco,B,9,FW,Ayoub El Kaabi,6/25/1993,24,9,11,RS Berkane,1,Morocco9FW34145
Morocco,B,10,MF,Younès Belhanda,2/25/1990,28,46,4,Galatasaray,1,Morocco10MF32929
Morocco,B,11,MF,Fayçal Fajr,8/1/1988,29,23,2,Getafe,1,Morocco11MF32356
Morocco,B,12,GK,Munir Mohamedi,5/10/1989,29,26,0,Numancia,1,Morocco12GK32638
Morocco,B,13,FW,Khalid Boutaïb,4/24/1987,31,17,7,Yeni Malatyaspor,1,Morocco13FW31891
Morocco,B,14,MF,Mbark Boussoufa,8/15/1984,33,58,7,Al-Jazira,1,Morocco14MF30909
Morocco,B,15,MF,Youssef Aït Bennasser,7/7/1996,21,13,0,Caen,1,Morocco15MF35253
Morocco,B,16,MF,Nordin Amrabat,3/31/1987,31,43,4,Leganés,1,Morocco16MF31867
Morocco,B,17,DF,Nabil Dirar,2/25/1986,32,34,3,Fenerbahçe,1,Morocco17DF31468
Morocco,B,18,MF,Amine Harit,6/18/1997,20,5,0,Schalke 04,1,Morocco18MF35599
Morocco,B,19,FW,Youssef En-Nesyri,6/1/1997,21,15,1,Málaga,1,Morocco19FW35582
Morocco,B,20,FW,Aziz Bouhaddouz,3/30/1987,31,14,3,FC St. Pauli,1,Morocco20FW31866
Morocco,B,21,MF,Sofyan Amrabat,8/21/1996,21,5,0,Feyenoord,1,Morocco21MF35298
Morocco,B,22,GK,Ahmed Reda Tagnaouti,4/5/1996,22,2,0,IR Tanger,1,Morocco22GK35160
Morocco,B,23,MF,Mehdi Carcela,7/1/1989,28,20,1,Standard Liège,1,Morocco23MF32690
Portugal,B,1,GK,Rui Patrício,2/15/1988,30,68,0,Sporting CP,1,Portugal1GK32188
Portugal,B,2,DF,Bruno Alves,11/27/1981,36,95,11,Rangers,1,Portugal2DF29917
Portugal,B,3,DF,Pepe,2/26/1983,35,94,5,Be?ikta?,1,Portugal3DF30373
Portugal,B,4,MF,Manuel Fernandes,2/5/1986,32,14,3,Lokomotiv Moscow,1,Portugal4MF31448
Portugal,B,5,DF,Raphaël Guerreiro,12/22/1993,24,23,2,Borussia Dortmund,1,Portugal5DF34325
Portugal,B,6,DF,José Fonte,12/22/1983,34,30,0,Dalian Yifang,1,Portugal6DF30672
Portugal,B,7,FW,Cristiano Ronaldo (captain),2/5/1985,33,149,81,Real Madrid,1,Portugal7FW31083
Portugal,B,8,MF,João Moutinho,9/8/1986,31,109,7,Monaco,1,Portugal8MF31663
Portugal,B,9,FW,André Silva,11/6/1995,22,22,12,Milan,1,Portugal9FW35009
Portugal,B,10,MF,João Mário,1/19/1993,25,35,2,West Ham United,1,Portugal10MF33988
Portugal,B,11,MF,Bernardo Silva,8/10/1994,23,24,2,Manchester City,1,Portugal11MF34556
Portugal,B,12,GK,Anthony Lopes,10/1/1990,27,7,0,Lyon,1,Portugal12GK33147
Portugal,B,13,DF,Rúben Dias,5/14/1997,21,1,0,Benfica,1,Portugal13DF35564
Portugal,B,14,MF,William Carvalho,4/7/1992,26,42,2,Sporting CP,1,Portugal14MF33701
Portugal,B,15,DF,Ricardo Pereira,10/6/1993,24,4,0,Porto,1,Portugal15DF34248
Portugal,B,16,MF,Bruno Fernandes,9/8/1994,23,5,0,Sporting CP,1,Portugal16MF34585
Portugal,B,17,FW,Gonçalo Guedes,11/29/1996,21,9,1,Valencia,1,Portugal17FW35398
Portugal,B,18,FW,Gelson Martins,5/11/1995,23,18,0,Sporting CP,1,Portugal18FW34830
Portugal,B,19,DF,Mário Rui,5/27/1991,27,3,0,Napoli,1,Portugal19DF33385
Portugal,B,20,FW,Ricardo Quaresma,9/26/1983,34,76,9,Be?ikta?,1,Portugal20FW30585
Portugal,B,21,DF,Cédric,8/31/1991,26,28,1,Southampton,1,Portugal21DF33481
Portugal,B,22,GK,Beto,5/1/1982,36,14,0,Göztepe,1,Portugal22GK30072
Portugal,B,23,MF,Adrien Silva,3/15/1989,29,22,1,Leicester City,1,Portugal23MF32582
Spain,B,1,GK,David de Gea,11/7/1990,27,28,0,Manchester United,1,Spain1GK33184
Spain,B,2,DF,Dani Carvajal,1/11/1992,26,15,0,Real Madrid,1,Spain2DF33614
Spain,B,3,DF,Gerard Piqué,2/2/1987,31,97,5,Barcelona,1,Spain3DF31810
Spain,B,4,DF,Nacho,1/18/1990,28,16,0,Real Madrid,1,Spain4DF32891
Spain,B,5,MF,Sergio Busquets,7/16/1988,29,102,2,Barcelona,1,Spain5MF32340
Spain,B,6,MF,Andrés Iniesta,5/11/1984,34,126,14,Barcelona,1,Spain6MF30813
Spain,B,7,MF,Saúl,11/21/1994,23,10,0,Atlético Madrid,1,Spain7MF34659
Spain,B,8,MF,Koke,1/8/1992,26,39,0,Atlético Madrid,1,Spain8MF33611
Spain,B,9,FW,Rodrigo,3/6/1991,27,5,2,Valencia,1,Spain9FW33303
Spain,B,10,MF,Thiago,4/11/1991,27,28,2,Bayern Munich,1,Spain10MF33339
Spain,B,11,FW,Lucas Vázquez,7/1/1991,26,6,0,Real Madrid,1,Spain11FW33420
Spain,B,12,DF,Álvaro Odriozola,12/14/1995,22,3,1,Real Sociedad,1,Spain12DF35047
Spain,B,13,GK,Kepa Arrizabalaga,10/3/1994,23,1,0,Athletic Bilbao,1,Spain13GK34610
Spain,B,14,DF,César Azpilicueta,8/28/1989,28,22,0,Chelsea,1,Spain14DF32748
Spain,B,15,DF,Sergio Ramos (captain),3/30/1986,32,151,13,Real Madrid,1,Spain15DF31501
Spain,B,16,DF,Nacho Monreal,2/26/1986,32,22,1,Arsenal,1,Spain16DF31469
Spain,B,17,FW,Iago Aspas,8/1/1987,30,9,4,Celta Vigo,1,Spain17FW31990
Spain,B,18,DF,Jordi Alba,3/21/1989,29,61,8,Barcelona,1,Spain18DF32588
Spain,B,19,FW,Diego Costa,10/7/1988,29,19,7,Atlético Madrid,1,Spain19FW32423
Spain,B,20,MF,Marco Asensio,1/21/1996,22,11,0,Real Madrid,1,Spain20MF35085
Spain,B,21,FW,David Silva,1/8/1986,32,120,35,Manchester City,1,Spain21FW31420
Spain,B,22,MF,Isco,4/21/1992,26,27,10,Real Madrid,1,Spain22MF33715
Spain,B,23,GK,Pepe Reina,8/31/1982,35,36,0,Napoli,1,Spain23GK30194
Australia,C,1,GK,Mathew Ryan,4/8/1992,26,43,0,Brighton & Hove Albion,1,Australia1GK33702
Australia,C,2,DF,Milos Degenek,4/28/1994,24,18,0,Yokohama F. Marinos,1,Australia2DF34452
Australia,C,3,DF,James Meredith,4/5/1988,30,2,0,Millwall,1,Australia3DF32238
Australia,C,4,FW,Tim Cahill,12/6/1979,38,105,50,Millwall,1,Australia4FW29195
Australia,C,5,DF,Mark Milligan,8/4/1985,32,70,6,Al-Ahli,1,Australia5DF31263
Australia,C,6,DF,Matthew Jurman,12/8/1989,28,4,0,Suwon Samsung Bluewings,1,Australia6DF32850
Australia,C,7,FW,Mathew Leckie,2/4/1991,27,52,8,Hertha BSC,1,Australia7FW33273
Australia,C,8,MF,Massimo Luongo,9/25/1992,25,35,5,Queens Park Rangers,1,Australia8MF33872
Australia,C,9,FW,Tomi Juric,7/22/1991,26,34,8,Luzern,1,Australia9FW33441
Australia,C,10,FW,Robbie Kruse,10/5/1988,29,63,5,VfL Bochum,1,Australia10FW32421
Australia,C,11,FW,Andrew Nabbout,12/17/1992,25,3,1,Urawa Red Diamonds,1,Australia11FW33955
Australia,C,12,GK,Brad Jones,3/19/1982,36,5,0,Feyenoord,1,Australia12GK30029
Australia,C,13,MF,Aaron Mooy,9/15/1990,27,33,5,Huddersfield Town,1,Australia13MF33131
Australia,C,14,FW,Jamie Maclaren,7/29/1993,24,6,0,Hibernian,1,Australia14FW34179
Australia,C,15,MF,Mile Jedinak (captain),8/3/1984,33,75,18,Aston Villa,1,Australia15MF30897
Australia,C,16,DF,Aziz Behich,12/16/1990,27,22,2,Bursaspor,1,Australia16DF33223
Australia,C,17,FW,Daniel Arzani,1/4/1999,19,1,0,Melbourne City,1,Australia17FW36164
Australia,C,18,GK,Danny Vukovic,3/27/1985,33,1,0,Genk,1,Australia18GK31133
Australia,C,19,DF,Josh Risdon,7/27/1992,25,7,0,Western Sydney Wanderers,1,Australia19DF33812
Australia,C,20,DF,Trent Sainsbury,1/5/1992,26,34,3,Grasshoppers,1,Australia20DF33608
Australia,C,21,FW,Dimitri Petratos,11/10/1992,25,2,0,Newcastle Jets,1,Australia21FW33918
Australia,C,22,MF,Jackson Irvine,3/7/1993,25,18,2,Hull City,1,Australia22MF34035
Australia,C,23,MF,Tom Rogic,12/16/1992,25,36,7,Celtic,1,Australia23MF33954
Denmark,C,1,GK,Kasper Schmeichel,11/5/1986,31,34,0,Leicester City,1,Denmark1GK31721
Denmark,C,2,MF,Michael Krohn-Dehli,6/6/1983,34,58,6,Deportivo La Coruña,1,Denmark2MF30473
Denmark,C,3,DF,Jannik Vestergaard,8/3/1992,25,16,1,Borussia Mönchengladbach,1,Denmark3DF33819
Denmark,C,4,DF,Simon Kjær (captain),3/26/1989,29,77,3,Sevilla,1,Denmark4DF32593
Denmark,C,5,DF,Jonas Knudsen,9/16/1992,25,3,0,Ipswich Town,1,Denmark5DF33863
Denmark,C,6,DF,Andreas Christensen,4/10/1996,22,15,1,Chelsea,1,Denmark6DF35165
Denmark,C,7,MF,William Kvist,2/24/1985,33,79,2,Copenhagen,1,Denmark7MF31102
Denmark,C,8,MF,Thomas Delaney,9/3/1991,26,26,4,Werder Bremen,1,Denmark8MF33484
Denmark,C,9,FW,Nicolai Jørgensen,1/15/1991,27,30,8,Feyenoord,1,Denmark9FW33253
Denmark,C,10,MF,Christian Eriksen,2/14/1992,26,77,21,Tottenham Hotspur,1,Denmark10MF33648
Denmark,C,11,FW,Martin Braithwaite,6/5/1991,27,19,1,Bordeaux,1,Denmark11FW33394
Denmark,C,12,FW,Kasper Dolberg,10/6/1997,20,5,1,Ajax,1,Denmark12FW35709
Denmark,C,13,DF,Mathias Jørgensen,4/23/1990,28,12,0,Huddersfield Town,1,Denmark13DF32986
Denmark,C,14,DF,Henrik Dalsgaard,7/27/1989,28,10,0,Brentford,1,Denmark14DF32716
Denmark,C,15,FW,Viktor Fischer,6/9/1994,23,18,3,Copenhagen,1,Denmark15FW34494
Denmark,C,16,GK,Jonas Lössl,2/1/1989,29,1,0,Huddersfield Town,1,Denmark16GK32540
Denmark,C,17,DF,Jens Stryger Larsen,2/21/1991,27,12,1,Udinese,1,Denmark17DF33290
Denmark,C,18,MF,Lukas Lerager,7/12/1993,24,3,0,Bordeaux,1,Denmark18MF34162
Denmark,C,19,MF,Lasse Schöne,5/27/1986,32,35,3,Ajax,1,Denmark19MF31559
Denmark,C,20,FW,Yussuf Poulsen,6/15/1994,23,27,3,RB Leipzig,1,Denmark20FW34500
Denmark,C,21,FW,Andreas Cornelius,3/16/1993,25,18,4,Atalanta,1,Denmark21FW34044
Denmark,C,22,GK,Frederik Rønnow,8/4/1992,25,6,0,Brøndby,1,Denmark22GK33820
Denmark,C,23,FW,Pione Sisto,2/4/1995,23,13,1,Celta Vigo,1,Denmark23FW34734
France,C,1,GK,Hugo Lloris (captain),12/26/1986,31,97,0,Tottenham Hotspur,1,France1GK31772
France,C,2,DF,Benjamin Pavard,3/28/1996,22,5,0,VfB Stuttgart,1,France2DF35152
France,C,3,DF,Presnel Kimpembe,8/13/1995,22,2,0,Paris Saint-Germain,1,France3DF34924
France,C,4,DF,Raphaël Varane,4/25/1993,25,41,2,Real Madrid,1,France4DF34084
France,C,5,DF,Samuel Umtiti,11/14/1993,24,18,2,Barcelona,1,France5DF34287
France,C,6,MF,Paul Pogba,3/15/1993,25,53,9,Manchester United,1,France6MF34043
France,C,7,FW,Antoine Griezmann,3/21/1991,27,53,20,Atlético Madrid,1,France7FW33318
France,C,8,FW,Thomas Lemar,11/12/1995,22,11,3,Monaco,1,France8FW35015
France,C,9,FW,Olivier Giroud,9/30/1986,31,73,31,Chelsea,1,France9FW31685
France,C,10,FW,Kylian Mbappé,12/20/1998,19,14,3,Paris Saint-Germain,1,France10FW36149
France,C,11,FW,Ousmane Dembélé,5/15/1997,21,11,2,Barcelona,1,France11FW35565
France,C,12,MF,Corentin Tolisso,8/3/1994,23,8,0,Bayern Munich,1,France12MF34549
France,C,13,MF,N'Golo Kanté,3/29/1991,27,23,1,Chelsea,1,France13MF33326
France,C,14,MF,Blaise Matuidi,4/9/1987,31,66,9,Juventus,1,France14MF31876
France,C,15,MF,Steven Nzonzi,12/15/1988,29,4,0,Sevilla,1,France15MF32492
France,C,16,GK,Steve Mandanda,3/28/1985,33,27,0,Marseille,1,France16GK31134
France,C,17,DF,Adil Rami,12/27/1985,32,35,1,Marseille,1,France17DF31408
France,C,18,FW,Nabil Fekir,7/18/1993,24,11,2,Lyon,1,France18FW34168
France,C,19,DF,Djibril Sidibé,7/29/1992,25,16,1,Monaco,1,France19DF33814
France,C,20,FW,Florian Thauvin,1/26/1993,25,4,0,Marseille,1,France20FW33995
France,C,21,DF,Lucas Hernández,2/14/1996,22,4,0,Atlético Madrid,1,France21DF35109
France,C,22,DF,Benjamin Mendy,7/17/1994,23,6,0,Manchester City,1,France22DF34532
France,C,23,GK,Alphonse Areola,2/27/1993,25,0,0,Paris Saint-Germain,1,France23GK34027
Peru,C,1,GK,Pedro Gallese,2/23/1990,28,37,0,Veracruz,1,Peru1GK32927
Peru,C,2,DF,Alberto Rodríguez,3/31/1984,34,58,0,Atlético Junior,1,Peru2DF30772
Peru,C,3,DF,Aldo Corzo,5/20/1989,29,25,0,Universitario,1,Peru3DF32648
Peru,C,4,DF,Anderson Santamaría,1/10/1992,26,3,0,Puebla,1,Peru4DF33613
Peru,C,5,DF,Miguel Araujo,10/24/1994,23,7,0,Alianza Lima,1,Peru5DF34631
