Team,#,Pos.,FIFA Popular Name,Birth Date,Shirt Name,Club,Height,Weight,Index Field
Colombia,18,DF,FABRA Frank,2/22/1991,FABRA,CA Boca Juniors (ARG),172,72,Colombia18DF33291
Colombia,21,FW,IZQUIERDO Jose,7/7/1992,IZQUIERDO,Brighton & Hove Albion FC (ENG),171,73,Colombia21FW33792
Colombia,5,MF,BARRIOS  Wilmar,10/16/1993,BARRIOS,CA Boca Juniors (ARG),178,74,Colombia5MF34258
Colombia,19,FW,BORJA Miguel,1/26/1993,M. BORJA,SE Palmeiras (BRA),183,74,Colombia19FW33995
Colombia,10,MF,RODRIGUEZ James,7/12/1991,JAMES,FC Bayern München (GER),180,75,Colombia10MF33431
Colombia,7,FW,BACCA Carlos,9/8/1986,BACCA,Villarreal CF (ESP),181,77,Colombia7FW31663
Colombia,14,FW,MURIEL Luis,4/16/1991,L. MURIEL,Sevilla FC (ESP),178,79,Colombia14FW33344
Colombia,1,GK,OSPINA David,8/31/1988,OSPINA,Arsenal FC (ENG),183,80,Colombia1GK32386
Colombia,3,DF,MURILLO Oscar,4/18/1988,O. MURILLO,CF Pachuca (MEX),184,80,Colombia3DF32251
Colombia,12,GK,VARGAS Camilo,3/9/1989,C. VARGAS,AC Deportivo Cali (COL),185,80,Colombia12GK32576
Colombia,22,GK,CUADRADO Jose,6/1/1985,J.F. CUADRADO,CD Once Caldas (COL),180,80,Colombia22GK31199
Colombia,23,DF,SANCHEZ Davinson,6/12/1996,D. SANCHEZ,Tottenham Hotspur FC (ENG),187,81,Colombia23DF35228
Colombia,2,DF,ZAPATA Cristian,9/30/1986,C. ZAPATA,AC Milan (ITA),187,82,Colombia2DF31685
Colombia,6,MF,SANCHEZ Carlos,2/6/1986,C. SANCHEZ,RCD Espanyol (ESP),182,82,Colombia6MF31449
Colombia,8,MF,AGUILAR Abel,1/6/1985,AGUILAR T.,AC Deportivo Cali (COL),185,82,Colombia8MF31053
Colombia,13,DF,MINA Yerry,9/23/1994,Y. MINA,FC Barcelona (ESP),194,95,Colombia13DF34600
Costa Rica,7,MF,BOLANOS Christian,5/17/1984,C. BOLAÑOS,Deportivo Saprissa (CRC),178,67,Costa Rica7MF30819
Costa Rica,16,DF,GAMBOA Cristian,10/24/1989,C. GAMBOA,Celtic FC (SCO),175,67,Costa Rica16DF32805
Costa Rica,17,MF,TEJEDA Yeltsin,3/17/1992,Y. TEJEDA,FC Lausanne-Sport (SUI),179,67,Costa Rica17MF33680
Costa Rica,4,DF,SMITH Ian,3/6/1998,I. SMITH,IFK Norrkoping FK (SWE),177,68,Costa Rica4DF35860
Costa Rica,8,DF,OVIEDO Bryan,2/18/1990,B. OVIEDO,Sunderland AFC (ENG),172,70,Costa Rica8DF32922
Costa Rica,13,MF,WALLACE Rodney,6/17/1988,R. WALLACE,New York City FC (USA),180,70,Costa Rica13MF32311
Costa Rica,21,FW,URENA Marcos,3/5/1990,M. UREÑA,Los Angeles FC (USA),181,70,Costa Rica21FW32937
Costa Rica,22,DF,MATARRITA Ronald,7/9/1994,R. MATARRITA,New York City FC (USA),175,70,Costa Rica22DF34524
Costa Rica,23,GK,MOREIRA Leonel,4/2/1990,L. MOREIRA,CS Herediano (CRC),179,70,Costa Rica23GK32965
Costa Rica,12,FW,CAMPBELL Joel,6/26/1992,J. CAMPBELL,Real Betis (ESP),178,71,Costa Rica12FW33781
Costa Rica,18,GK,PEMBERTON Patrick,4/24/1982,P. PEMBERTON,LD Alajuelense (CRC),178,72,Costa Rica18GK30065
Costa Rica,10,MF,RUIZ Bryan,8/18/1985,BRYAN,Sporting CP (POR),187,73,Costa Rica10MF31277
Costa Rica,2,DF,ACOSTA Johnny,7/21/1983,J. ACOSTA,Rionegro Águilas (COL),176,75,Costa Rica2DF30518
Costa Rica,9,MF,COLINDRES Daniel,1/10/1985,D. COLINDRES,Deportivo Saprissa (CRC),180,75,Costa Rica9MF31057
Costa Rica,11,FW,VENEGAS Johan,11/27/1988,J. VENEGAS,Deportivo Saprissa (CRC),183,76,Costa Rica11FW32474
Costa Rica,3,DF,GONZALEZ Giancarlo,2/8/1988,G. GONZALEZ,Bologna FC (ITA),186,78,Costa Rica3DF32181
Costa Rica,15,DF,CALVO Francisco,7/8/1992,F. CALVO,Minnesota United FC (USA),180,78,Costa Rica15DF33793
Costa Rica,20,MF,GUZMAN David,2/18/1990,D. GUZMAN,Portland Timbers (USA),176,78,Costa Rica20MF32922
Costa Rica,5,MF,BORGES Celso,5/27/1988,C. BORGES,Deportivo La Coruña (ESP),187,79,Costa Rica5MF32290
Costa Rica,1,GK,NAVAS Keylor,12/15/1986,K. NAVAS,Real Madrid CF (ESP),185,80,Costa Rica1GK31761
Costa Rica,6,DF,DUARTE Oscar,6/3/1989,O. DUARTE,RCD Espanyol (ESP),186,81,Costa Rica6DF32662
Costa Rica,14,MF,AZOFEIFA Randall,12/30/1984,R. AZOFEIFA,CS Herediano (CRC),182,83,Costa Rica14MF31046
Costa Rica,19,DF,WASTON Kendall,1/1/1988,K. WASTON,Vancouver Whitecaps FC (CAN),196,87,Costa Rica19DF32143
Croatia,10,MF,MODRIC Luka,9/9/1985,MODRI?,Real Madrid CF (ESP),172,66,Croatia10MF31299
Croatia,11,MF,BROZOVIC Marcelo,11/16/1992,BROZOVI?,FC Internazionale (ITA),181,68,Croatia11MF33924
Croatia,22,DF,PIVARIC Josip,1/30/1989,PIVARI?,FC Dynamo Kyiv (UKR),176,69,Croatia22DF32538
Croatia,9,FW,KRAMARIC Andrej,6/19/1991,KRAMARI?,TSG 1899 Hoffenheim (GER),177,73,Croatia9FW33408
Croatia,2,DF,VRSALJKO Sime,1/10/1992,VRSALJKO,Atletico Madrid (ESP),181,76,Croatia2DF33613
Croatia,19,MF,BADELJ Milan,2/25/1989,BADELJ,ACF Fiorentina (ITA),186,76,Croatia19MF32564
Croatia,21,DF,VIDA Domagoj,4/29/1989,VIDA,Besiktas JK (TUR),184,76,Croatia21DF32627
Croatia,3,DF,STRINIC Ivan,7/17/1987,STRINI?,UC Sampdoria (ITA),186,78,Croatia3DF31975
Croatia,7,MF,RAKITIC Ivan,3/10/1988,RAKITI?,FC Barcelona (ESP),184,78,Croatia7MF32212
Croatia,8,MF,KOVACIC Mateo,5/6/1994,KOVA?I?,Real Madrid CF (ESP),178,78,Croatia8MF34460
Croatia,14,MF,BRADARIC Filip,1/11/1992,BRADARI?,HNK Rijeka (CRO),186,78,Croatia14MF33614
Croatia,18,FW,REBIC Ante,9/21/1993,REBI?,Eintracht Frankfurt (GER),185,78,Croatia18FW34233
Croatia,4,FW,PERISIC Ivan,2/2/1989,PERIŠI?,FC Internazionale (ITA),186,81,Croatia4FW32541
Croatia,13,DF,JEDVAJ Tin,11/28/1995,JEDVAJ,Bayer 04 Leverkusen (GER),184,81,Croatia13DF35031
Croatia,16,FW,KALINIC Nikola,1/5/1988,N. KALINI?,AC Milan (ITA),187,81,Croatia16FW32147
Croatia,1,GK,LIVAKOVIC Dominik,1/9/1995,LIVAKOVI?,GNK Dinamo Zagreb (CRO),188,82,Croatia1GK34708
Croatia,20,FW,PJACA Marko,5/6/1995,PJACA,FC Schalke 04 (GER),186,83,Croatia20FW34825
Croatia,5,DF,CORLUKA Vedran,2/5/1986,?ORLUKA,FC Lokomotiv Moscow (RUS),192,84,Croatia5DF31448
Croatia,6,DF,LOVREN Dejan,7/5/1989,LOVREN,Liverpool FC (ENG),188,84,Croatia6DF32694
Croatia,23,GK,SUBASIC Danijel,10/27/1984,SUBAŠI?,AS Monaco (FRA),191,84,Croatia23GK30982
Croatia,17,FW,MANDZUKIC Mario,5/21/1986,MANDŽUKI?,Juventus FC (ITA),190,85,Croatia17FW31553
Croatia,15,DF,CALETA-CAR Duje,9/17/1996,?ALETA-CAR,FC Red Bull Salzburg (AUT),192,89,Croatia15DF35325
Croatia,12,GK,KALINIC Lovre,4/3/1990,L. KALINI?,KAA Gent (BEL),201,96,Croatia12GK32966
Denmark,2,MF,KROHN-DEHLI Michael,6/6/1983,KROHN-DEHLI,Deportivo La Coruña (ESP),171,69,Denmark2MF30473
Denmark,23,FW,SISTO Pione,2/4/1995,SISTO,Celta Vigo (ESP),173,69,Denmark23FW34734
Denmark,11,FW,BRAITHWAITE Martin,6/5/1991,BRAITHWAITE,FC Girondins Bordeaux (FRA),180,73,Denmark11FW33394
Denmark,10,MF,ERIKSEN Christian,2/14/1992,ERIKSEN,Tottenham Hotspur FC (ENG),181,76,Denmark10MF33648
Denmark,8,MF,DELANEY Thomas,9/3/1991,DELANEY,SV Werder Bremen (GER),180,78,Denmark8MF33484
Denmark,7,MF,KVIST William,2/24/1985,KVIST,FC Kobenhavn (DEN),185,80,Denmark7MF31102
Denmark,15,FW,FISCHER Viktor,6/9/1994,FISCHER,FC Kobenhavn (DEN),181,80,Denmark15FW34494
Denmark,19,MF,SCHONE Lasse,5/27/1986,SCHÖNE,AFC Ajax (NED),178,80,Denmark19MF31559
Denmark,14,DF,DALSGAARD Henrik,7/27/1989,DALSGAARD,Brentford FC (ENG),190,81,Denmark14DF32716
Denmark,5,DF,KNUDSEN Jonas,9/16/1992,KNUDSEN,Ipswich Town FC (ENG),187,82,Denmark5DF33863
Denmark,17,DF,STRYGER LARSEN Jens,2/21/1991,STRYGER,Udinese Calcio (ITA),182,82,Denmark17DF33290
Denmark,4,DF,KJAER Simon,3/26/1989,KJÆR,Sevilla FC (ESP),191,84,Denmark4DF32593
Denmark,20,FW,POULSEN Yussuf Yurary,6/15/1994,YURARY,RB Leipzig (GER),193,84,Denmark20FW34500
Denmark,6,DF,CHRISTENSEN Andreas,4/10/1996,CHRISTENSEN,Chelsea FC (ENG),192,85,Denmark6DF35165
Denmark,12,FW,DOLBERG Kasper,10/6/1997,DOLBERG,AFC Ajax (NED),187,85,Denmark12FW35709
Denmark,13,DF,JORGENSEN Mathias,4/23/1990,M. JØRGENSEN,Huddersfield Town FC (ENG),191,85,Denmark13DF32986
Denmark,18,MF,LERAGER Lukas,7/12/1993,LERAGER,FC Girondins Bordeaux (FRA),186,85,Denmark18MF34162
Denmark,22,GK,RONNOW Frederik,8/4/1992,RØNNOW,Brondby IF (DEN),190,85,Denmark22GK33820
Denmark,9,FW,JORGENSEN Nicolai,1/15/1991,N. JØRGENSEN,Feyenoord Rotterdam (NED),194,86,Denmark9FW33253
Denmark,16,GK,LOSSL Jonas,2/1/1989,LÖSSL,Huddersfield Town FC (ENG),195,90,Denmark16GK32540
Denmark,21,FW,CORNELIUS Andreas,3/16/1993,CORNELIUS,Atalanta Bergamo (ITA),195,91,Denmark21FW34044
Denmark,1,GK,SCHMEICHEL Kasper,11/5/1986,SCHMEICHEL,Leicester City FC (ENG),190,92,Denmark1GK31721
Denmark,3,DF,VESTERGAARD Jannik,8/3/1992,VESTERGAARD,VfL Borussia Mönchengladbach (GER),200,98,Denmark3DF33819
Egypt,8,MF,TAREK HAMED,10/24/1988,TAREK HAMED,Zamalek (EGY),169,67,Egypt8MF32440
Egypt,4,MF,OMAR GABER,1/30/1992,O. GABER,Los Angeles FC (USA),175,71,Egypt4MF33633
Egypt,10,FW,MOHAMED SALAH,6/15/1992,M SALAH,Liverpool FC (ENG),175,71,Egypt10FW33770
Egypt,13,DF,MOHAMED ABDELSHAFY,7/1/1985,ABDELSHAFY,Al Fateh FC (KSA),171,72,Egypt13DF31229
Egypt,15,DF,MAHMOUD HAMDY,6/1/1995,M. HAMDY,Zamalek (EGY),173,72,Egypt15DF34851
Egypt,12,DF,AYMAN ASHRAF,4/9/1991,A. ASHRAF,Al Ahly SC (EGY),176,73,Egypt12DF33337
Egypt,17,MF,MOHAMED ELNENY,7/11/1992,M. ELNENY,Arsenal FC (ENG),181,74,Egypt17MF33796
Egypt,5,MF,SAM MORSY,9/10/1991,MORSY,Wigan Athletic FC (ENG),173,75,Egypt5MF33491
Egypt,19,MF,ABDALLA SAID,7/13/1985,ABDALLA,Kuopion PS (FIN),176,75,Egypt19MF31241
Egypt,3,DF,AHMED ELMOHAMADY,9/9/1987,ELMOHAMADY,Aston Villa FC (ENG),183,76,Egypt3DF32029
Egypt,7,DF,AHMED FATHI,11/10/1984,A. FATHI,Al Ahly SC (EGY),176,76,Egypt7DF30996
Egypt,11,FW,KAHRABA,4/13/1994,M. KAHRABA,Al-Ittihad FC (KSA),182,76,Egypt11FW34437
Egypt,14,FW,RAMADAN SOBHY,1/23/1997,RAMADAN,Stoke City FC (ENG),183,77,Egypt14FW35453
Egypt,21,MF,TREZEGUET,10/1/1994,M. TREZEGUET,Kasimpasa SK (TUR),181,77,Egypt21MF34608
Egypt,22,FW,AMR WARDA,9/17/1993,WARDA,Atromitos FC (GRE),179,77,Egypt22FW34229
Egypt,18,FW,SHIKABALA,3/5/1986,SHIKABALA,Al Raed SC (KSA),183,80,Egypt18FW31476
Egypt,9,FW,MARWAN MOHSEN,2/26/1989,MARWAN,Al Ahly SC (EGY),185,81,Egypt9FW32565
Egypt,20,DF,SAMIR SAAD,4/1/1989,S. SAMIR,Al Ahly SC (EGY),183,82,Egypt20DF32599
Egypt,23,GK,MOHAMED ELSHENAWY,12/18/1988,M. ELSHENAWY,Al Ahly SC (EGY),191,86,Egypt23GK32495
Egypt,2,DF,ALI GABR,1/1/1989,ALI GABR,West Bromwich Albion FC (ENG),191,88,Egypt2DF32509
Egypt,1,GK,ESSAM EL HADARY,1/15/1973,ELHADARY,Al Taawoun FC (KSA),190,90,Egypt1GK26679
Egypt,16,GK,SHERIF EKRAMY,7/10/1983,EKRAMY,Al Ahly SC (EGY),193,93,Egypt16GK30507
Egypt,6,DF,AHMED HEGAZY,1/25/1991,A. HEGAZY,West Bromwich Albion FC (ENG),194,95,Egypt6DF33263
England,7,MF,LINGARD Jesse,12/15/1992,LINGARD,Manchester United FC (ENG),175,60,England7MF33953
England,10,FW,STERLING Raheem,12/8/1994,STERLING,Manchester City FC (ENG),170,70,England10FW34676
England,22,DF,ALEXANDER-ARNOLD Trent,10/7/1998,ALEXANDER-ARNOLD,Liverpool FC (ENG),175,70,England22DF36075
England,1,GK,PICKFORD Jordan,3/7/1994,PICKFORD,Everton FC (ENG),185,72,England1GK34400
England,5,DF,STONES John,5/28/1994,STONES,Manchester City FC (ENG),188,72,England5DF34482
England,12,DF,TRIPPIER Kieran,9/19/1990,TRIPPIER,Tottenham Hotspur FC (ENG),178,72,England12DF33135
England,16,DF,JONES Phil,2/21/1992,JONES,Manchester United FC (ENG),182,72,England16DF33655
England,21,MF,LOFTUS-CHEEK Ruben,1/23/1996,LOFTUS-CHEEK,Chelsea FC (ENG),190,73,England21MF35087
England,3,DF,ROSE Danny,7/2/1990,ROSE,Tottenham Hotspur FC (ENG),173,76,England3DF33056
England,20,MF,ALLI Dele,4/11/1996,DELE,Tottenham Hotspur FC (ENG),188,76,England20MF35166
England,23,GK,POPE Nick,4/19/1992,POPE,Burnley FC (ENG),191,76,England23GK33713
England,14,FW,WELBECK Danny,11/26/1990,WELBECK,Arsenal FC (ENG),184,78,England14FW33203
England,17,DF,DELPH Fabian,11/21/1989,DELPH,Manchester City FC (ENG),174,78,England17DF32833
England,18,DF,YOUNG Ashley,7/9/1985,YOUNG,Manchester United FC (ENG),175,78,England18DF31237
England,19,FW,RASHFORD Marcus,10/31/1997,RASHFORD,Manchester United FC (ENG),180,78,England19FW35734
England,11,FW,VARDY Jamie,1/11/1987,VARDY,Leicester City FC (ENG),178,80,England11FW31788
England,8,MF,HENDERSON Jordan,6/17/1990,HENDERSON,Liverpool FC (ENG),183,82,England8MF33041
England,2,DF,WALKER Kyle,5/28/1990,WALKER,Manchester City FC (ENG),178,83,England2DF33021
England,15,DF,CAHILL Gary,12/19/1985,CAHILL,Chelsea FC (ENG),191,85,England15DF31400
